zip_code,household_income
00601,5341
00602,12777
00603,19624
00606,1948
00610,8781
00611,523
00612,23286
00616,3150
00617,8234
00622,2996
00623,14572
00624,7344
00627,11585
00631,480
00636,262
00637,7265
00638,5814
00641,8854
00646,12006
00647,1844
00650,5245
00652,1412
00653,3627
00656,6429
00659,13061
00660,6084
00662,14067
00664,5056
00667,8259
00669,9997
00670,2702
00674,14691
00676,12956
00677,5741
00678,9059
00680,17577
00682,12077
00683,10904
00685,14312
00687,9810
00688,3950
00690,2063
00692,11968
00693,20435
00694,52
00698,12264
00703,8993
00704,2443
00705,8909
00707,3904
00714,6246
00715,780
00716,11547
00717,6678
00718,8138
00719,8692
00720,6514
00723,6222
00725,30818
00727,20011
00728,13069
00729,16661
00730,12950
00731,3924
00735,4234
00736,17707
00738,11898
00739,12418
00740,718
00741,1338
00745,16232
00751,7550
00754,13364
00757,7182
00765,2608
00766,7808
00767,11808
00769,12770
00771,12150
00772,6408
00773,6800
00775,447
00777,13415
00778,14840
00780,4779
00782,5239
00783,10736
00784,14239
00786,86
00791,16741
00794,8964
00795,14607
00901,3302
00906,78
00907,8521
00909,2500
00911,3724
00912,2800
00913,3090
00915,10638
00917,8211
00918,7980
00920,7117
00921,13998
00923,10487
00924,19698
00925,2763
00926,36983
00927,6265
00934,28
00949,25533
00950,0
00951,123
00952,3138
00953,22376
00956,24889
00957,15345
00959,18030
00960,0
00961,11572
00962,7634
00965,2044
00966,6507
00968,1834
00969,15537
00971,9593
00976,23447
00979,8770
00982,5727
00983,12773
00985,12400
00987,20134
01001,6611
01002,8782
01003,19
01005,1681
01007,6446
01008,531
01009,307
01010,1480
01011,512
01012,198
01013,9350
01020,13311
01022,1077
01026,479
01027,8606
01028,5975
01029,241
01030,4966
01031,676
01032,232
01033,2686
01034,843
01035,2323
01036,1971
01037,257
01038,1058
01039,720
01040,15112
01050,1102
01053,742
01054,738
01056,8502
01057,3473
01060,7391
01062,4178
01063,6
01066,69
01068,613
01069,3848
01070,261
01071,530
01072,614
01073,2496
01074,180
01075,7316
01077,3691
01079,262
01080,989
01081,692
01082,4843
01083,903
01084,50
01085,15767
01088,390
01089,12691
01092,618
01093,69
01094,13
01095,5382
01096,1107
01097,17
01098,467
01103,1496
01104,9103
01105,5018
01106,5976
01107,4290
01108,10505
01109,9623
01118,5724
01119,5173
01128,1102
01129,2661
01144,0
01151,3615
01201,19874
01220,4041
01222,238
01223,1181
01224,56
01225,1547
01226,2884
01229,83
01230,3776
01235,1059
01236,619
01237,1042
01238,2572
01240,2239
01242,70
01243,72
01244,74
01245,335
01247,6783
01253,377
01254,440
01255,355
01256,305
01257,1011
01258,81
01259,266
01260,9
01262,715
01264,98
01266,456
01267,2735
01270,398
01301,8225
01330,759
01331,5412
01337,1044
01338,48
01339,634
01340,835
01341,714
01342,393
01343,72
01344,677
01346,203
01347,101
01349,343
01350,53
01351,1034
01354,627
01355,412
01360,1225
01364,3044
01366,461
01367,198
01368,538
01370,1741
01373,2309
01375,1765
01376,2289
01378,348
01379,366
01380,9
01420,16700
01430,2319
01431,1241
01432,3630
01434,278
01436,1275
01438,133
01440,8939
01450,3700
01451,1766
01452,1553
01453,18404
01460,3557
01462,4604
01463,4339
01464,2470
01468,1658
01469,2797
01473,3248
01474,707
01475,3588
01501,6672
01503,1432
01504,3874
01505,1864
01506,1445
01507,4833
01510,6732
01515,871
01516,3160
01518,1316
01519,2637
01520,5978
01521,1175
01522,1140
01523,2981
01524,2187
01525,31
01527,5209
01529,1275
01531,402
01532,5812
01534,2338
01535,1871
01536,3028
01537,808
01540,4071
01541,1316
01542,1104
01543,3058
01545,14424
01550,7030
01560,1908
01561,0
01562,5084
01564,3461
01566,2641
01568,2659
01569,5336
01570,7311
01571,4277
01581,7962
01583,2827
01585,2028
01588,4122
01590,3272
01602,10105
01603,7885
01604,16811
01605,11683
01606,9018
01607,3677
01608,2253
01609,8536
01610,9082
01611,766
01612,1611
01701,13157
01702,14683
01718,241
01719,2166
01720,8743
01721,7653
01730,5670
01731,460
01740,1882
01741,1787
01742,6476
01745,213
01746,5562
01747,2171
01748,6674
01749,8055
01752,16524
01754,4416
01756,2054
01757,11528
01760,15466
01770,1511
01772,3386
01773,2125
01775,2613
01776,6323
01778,5021
01801,16121
01803,9990
01810,13361
01821,11489
01824,9910
01826,12209
01827,1135
01830,10472
01832,10060
01833,3142
01834,2613
01835,5444
01840,3107
01841,16881
01843,10342
01844,19032
01845,11311
01850,5872
01851,11353
01852,14694
01854,10424
01860,2644
01862,4117
01863,3611
01864,5851
01867,9492
01876,11944
01879,4045
01880,10874
01886,8606
01887,7925
01890,8066
01901,1076
01902,18797
01904,7077
01905,8965
01906,10768
01907,6315
01908,1626
01913,7588
01915,16570
01921,2879
01922,1209
01923,11147
01929,1370
01930,13259
01937,0
01938,5610
01940,4752
01944,2101
01945,8195
01949,3192
01950,7591
01951,1292
01952,4050
01960,22568
01965,339
01966,3282
01969,2376
01970,19827
01982,2652
01983,2217
01984,1325
01985,1624
02019,6270
02021,9649
02025,3107
02026,10427
02030,1887
02032,1536
02035,7212
02038,12131
02043,9230
02045,4504
02047,101
02048,8880
02050,10304
02052,4463
02053,4539
02054,3172
02056,3291
02061,3607
02062,13114
02066,7536
02067,6386
02071,476
02072,10858
02081,7345
02090,5377
02093,4436
02108,2002
02109,1993
02110,1312
02111,3746
02113,4042
02114,7719
02115,9845
02116,11915
02118,14133
02119,11823
02120,4584
02121,10513
02122,9449
02124,19166
02125,13284
02126,8539
02127,17406
02128,17308
02129,9187
02130,17922
02131,12371
02132,10967
02133,0
02134,8058
02135,20713
02136,13591
02138,14480
02139,15995
02140,9949
02141,7069
02142,2140
02143,12074
02144,11203
02145,11608
02148,25809
02149,17054
02150,13371
02151,21555
02152,8328
02155,25368
02163,453
02169,28034
02170,8101
02171,8778
02176,12037
02180,9654
02184,14407
02186,9182
02188,6722
02189,6433
02190,8079
02191,3462
02199,842
02203,0
02205,0
02210,3730
02215,8329
02301,23345
02302,12144
02322,1770
02324,9162
02325,32
02330,4695
02332,6063
02333,5085
02338,2966
02339,4843
02341,4030
02343,4587
02346,9648
02347,4123
02350,49
02351,6237
02356,4572
02357,0
02359,6718
02360,25217
02364,5483
02366,0
02367,1052
02368,12473
02370,6821
02375,4499
02379,2802
02382,5701
02420,5589
02421,6796
02445,9374
02446,14365
02451,7928
02452,5507
02453,12636
02457,15
02458,4941
02459,6541
02460,3946
02461,2676
02462,525
