DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADCITY,ADSTATE,ADZIP5,WEBURL,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4
ART,MOBILE MUSEUM OF ART,THE MOBILE MUSEUM OF ART INC,4850 MUSEUM DR,MOBILE,AL,36689,HTTP://WWW.MOBILEMUSEUMOFART.COM/,-88.15462,30.70401,3,5,1
ART,MONTGOMERY MUSEUM OF FINE ARTS,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,ONE MUSEUM DRIVE,MONTGOMERY,AL,36123,HTTP://MMFA.ORG/,-86.2087,32.3526,3,5,1
HST,HISTORY MUSEUM OF MOBILE,MOBILE MEDICAL MUSEUM INC,111 SOUTH ROYAL STREET,MOBILE,AL,36602,NA,-88.07704,30.69234,3,5,1
ART,JAN DEMPSEY ARTS CENTER,JAN DEMPSEY ARTS CENTER,222 E DRAKE AVE,AUBURN,AL,36830,NA,-85.4782,32.61408,3,5,1
HST,HANK WILLIAMS SENIOR BOYHOOD HOME AND MUSEUM,HANK WILLIAMS MUSEUM AND FESTIVAL INC,127 ROSE ST,GEORGIANA,AL,36033,HTTP://WWW.HANKMUSEUM.COM/HOME/,-86.74566,31.65737,3,5,4
ART,FAYETTE ART MUSEUM,FAYETTE ART MUSEUM,530 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,NA,-87.83088,33.68726,3,5,3
ART,ALABAMA FOLK ART MUSEUM,ALABAMA FOLK ART MUSEUM,1731 1ST AVE N,BIRMINGHAM,AL,35203,HTTP://WWW.ARTFOLKGALLERY.ORG,-86.80921,33.51275,3,5,1
HST,BIRMINGHAM HISTORY CENTER,BIRMINGHAM HISTORY CENTER,1731 1ST AVE N STE 120,BIRMINGHAM,AL,35203,HTTP://WWW.BIRMINGHAMHISTORYCENTER.ORG/,-86.80949,33.51496,3,5,1
ART,BARE HANDS GALLERY,BARE HANDS GALLERY INC,PO BOX 13961,BIRMINGHAM,AL,35202,HTTP://WWW.BAREHANDSINC.ORG/,-86.80581,33.51634,3,5,1
SCI,RED BAY MUSEUM,RED BAY MUSEUM,400 4TH ST SW,RED BAY,AL,35582,NA,-88.14745,34.44257,3,5,4
HST,PIONEER MUSEUM OF ALABAMA,PIONEER MUSEUM OF ALABAMA ASSN,248 HIGHWAY 231 N,TROY,AL,36081,HTTP://WWW.PIONEER-MUSEUM.ORG,-85.99719,31.85412,3,5,3
ART,BIRMINGHAM MUSEUM OF ART,BIRMINGHAM MUSEUM OF ART MEMBERS,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203,HTTP://WWW.ARTSBMA.ORG/,-86.80939,33.52206,3,5,1
HST,BESSEMER HALL OF HISTORY,BESSEMER HALL OF HISTORY INC,1905 ALABAMA AVE,BESSEMER,AL,35020,HTTP://WWW.BESSEMERHALLOFHISTORY.ORG,-86.95051,33.40094,3,5,2
HST,BLUE AND GREY MUSEUM OF NORTH ALABAMA,BLUE AND GREY MUSEUM OF NORTH ALABAMA,723 BANK ST NW,DECATUR,AL,35601,HTTP://WWW.ALABAMACIVILWARMUSEUM.COM/,-86.98777,34.59053,3,5,1
