zip_code,total_population,total_population_male,total_population_female,median_age,under_18,age_18_and_over,age_65_and_over
00601,16834,8337,8497,44,3093,13741,3511
00602,37642,18405,19237,45.2,6109,31533,8099
00603,49075,23813,25262,45,8358,40717,11411
00606,5590,2723,2867,46.2,909,4681,1387
00610,25542,12317,13225,44.4,4219,21323,5547
00611,1315,667,648,48.1,210,1105,336
00612,63312,29745,33567,44.4,11393,51919,15016
00616,9625,4515,5110,46.7,1349,8276,2171
00617,22573,10709,11864,42.6,4049,18524,4635
00622,7577,3334,4243,50.2,914,6663,2387
00623,39406,18869,20537,45.4,6715,32691,8910
00624,21648,10612,11036,40.1,4564,17084,3875
00627,32733,15525,17208,44.5,5507,27226,7114
00631,1431,616,815,42.1,259,1172,447
00636,1057,576,481,29.7,292,765,83
00637,22882,10634,12248,45.1,4110,18772,5632
00638,17605,8553,9052,45.6,3135,14470,4193
00641,24299,11497,12802,45.9,4313,19986,5783
00646,35926,17389,18537,42.5,6837,29089,6719
00647,4702,2285,2417,46.4,1090,3612,1385
00650,13767,6578,7189,41.1,2386,11381,2831
00652,3924,1799,2125,44.5,586,3338,825
00653,8980,4460,4520,44.7,1408,7572,2084
00656,18121,8610,9511,44.9,3254,14867,4123
00659,37066,17719,19347,44.7,5939,31127,8037
00660,15483,7162,8321,48.9,2263,13220,4486
00662,40480,19481,20999,44.3,6545,33935,8713
00664,14967,7355,7612,41.9,3009,11958,2846
00667,23370,11400,11970,47.4,3654,19716,6041
00669,27529,13676,13853,44.5,4672,22857,6006
00670,8746,4297,4449,44,1672,7074,1951
00674,39385,18322,21063,44,6992,32393,9266
00676,36683,17935,18748,42.2,6594,30089,7235
00677,15304,7080,8224,48.7,2317,12987,3997
00678,25039,12401,12638,44.4,4259,20780,5545
00680,43173,20875,22298,45.6,6848,36325,11958
00682,30414,14278,16136,38,5041,25373,6696
00683,29547,14266,15281,46.9,4932,24615,7938
00685,40346,19505,20841,45.7,7277,33069,9697
00687,28659,14190,14469,41.5,5350,23309,5120
00688,11478,5948,5530,42.5,1728,9750,2371
00690,5781,2785,2996,36.6,1187,4594,1195
00692,33302,15999,17303,41.4,6206,27096,6538
00693,55570,26566,29004,43.9,9881,45689,11928
00694,98,52,46,73.7,0,98,69
00698,33506,15911,17595,45.6,5776,27730,7925
00703,24475,11773,12702,44.1,4323,20152,5274
00704,6831,3275,3556,31.7,1464,5367,1054
00705,24401,11649,12752,45.7,4185,20216,5627
00707,10487,5168,5319,46,1789,8698,2540
00714,15797,7286,8511,41.9,3059,12738,3370
00715,2040,1037,1003,54.2,422,1618,554
00716,27166,12174,14992,46.7,4551,22615,7367
00717,15029,6447,8582,44.9,2520,12509,4127
00718,23289,10914,12375,39.7,4645,18644,4455
00719,29523,14827,14696,42.4,5369,24154,6370
00720,20816,10378,10438,41.2,4044,16772,3736
00723,15978,7657,8321,47.2,2612,13366,3936
00725,77244,35626,41618,44.8,12798,64446,18139
00727,53258,24879,28379,42.8,9340,43918,10168
00728,38590,19493,19097,40.4,7510,31080,7528
00729,47826,22725,25101,41.9,8789,39037,9011
00730,32267,15359,16908,44.4,5653,26614,8343
00731,10473,5076,5397,47.9,1565,8908,2678
00735,11164,5311,5853,46,1772,9392,2834
00736,45867,22104,23763,44.4,7579,38288,10314
00738,30093,13946,16147,44.2,5149,24944,7000
00739,34678,16543,18135,42.8,6314,28364,6629
00740,2034,981,1053,34,597,1437,337
00741,3627,1615,2012,47.1,562,3065,859
00745,47494,22776,24718,43.8,8015,39479,10084
00751,19570,9486,10084,45.3,3613,15957,4552
00754,36576,17827,18749,43.7,6227,30349,7448
00757,20048,9623,10425,40.6,3916,16132,3449
00765,8199,4179,4020,45.3,1474,6725,1942
00766,22053,10664,11389,43.1,4277,17776,4395
00767,30779,14844,15935,45.7,5197,25582,7056
00769,34374,16657,17717,44.5,6110,28264,6791
00771,34964,16657,18307,42.8,6197,28767,7308
00772,17316,8107,9209,42.8,3254,14062,3546
00773,17716,8285,9431,44.5,3025,14691,4092
00775,1186,657,529,44.6,206,980,260
00777,37726,17924,19802,39.9,7253,30473,6536
00778,40476,19029,21447,41.2,7290,33186,6861
00780,13908,6709,7199,39.6,3125,10783,2455
00782,18639,9299,9340,41.2,3455,15184,3512
00783,34205,16575,17630,41.8,6586,27619,6624
00784,35917,17784,18133,40.6,6473,29444,7033
00786,154,72,82,61.3,0,154,41
00791,46537,22051,24486,46,7870,38667,11166
00794,28335,13914,14421,39.4,5684,22651,5125
00795,42900,20289,22611,41.9,8125,34775,8479
00901,8220,4400,3820,46,1000,7220,2062
00906,148,80,68,35.2,18,130,0
00907,16607,8240,8367,50.7,1764,14843,4725
00909,5260,2537,2723,41.6,1067,4193,1160
00911,7087,3542,3545,48.5,936,6151,1547
00912,5955,2695,3260,48.1,544,5411,1398
00913,7068,2999,4069,28,2428,4640,964
00915,24713,11449,13264,42.8,4823,19890,5119
00917,18544,8466,10078,49.2,2527,16017,5262
00918,15976,7065,8911,44.4,2091,13885,4106
00920,17293,8058,9235,45,2668,14625,3673
00921,33555,15083,18472,41.8,6162,27393,7373
00923,24760,11175,13585,43.6,4313,20447,5248
00924,47080,20859,26221,41.5,9661,37419,10890
00925,5556,2937,2619,41.7,363,5193,1335
00926,93751,42020,51731,45.3,14756,78995,22965
00927,13766,6110,7656,48.2,1934,11832,3854
00934,128,84,44,32.3,54,74,0
00949,68031,31291,36740,42,12104,55927,14240
00950,0,0,0,-,0,0,0
00951,298,151,147,46.2,54,244,74
00952,8168,4066,4102,51.6,1038,7130,2169
00953,66079,31605,34474,40.8,11970,54109,10228
00956,65841,31057,34784,44,10929,54912,16073
00957,41009,18142,22867,44.1,6688,34321,9498
00959,47721,21365,26356,42.3,8390,39331,10262
00960,3405,3394,11,36.1,48,3357,90
00961,29271,13728,15543,46.8,4591,24680,7502
00962,19614,9183,10431,41,3696,15918,4195
00965,5148,2373,2775,45.4,823,4325,1317
00966,16451,7673,8778,49.3,2860,13591,4588
00968,3554,1433,2121,57.3,419,3135,1333
00969,41784,19288,22496,45,6117,35667,9949
00971,26430,13222,13208,47.1,3520,22910,5896
00976,61638,28440,33198,44.4,10301,51337,13924
00979,16890,8412,8478,52.7,1506,15384,5054
00982,13876,6186,7690,44.3,2448,11428,3372
00983,31816,14140,17676,42.2,5963,25853,7535
00985,32265,14346,17919,47.7,4462,27803,8983
00987,54109,24952,29157,41.1,9956,44153,9904
01001,16045,7872,8173,45.9,2837,13208,3894
01002,22992,11654,11338,26.4,3034,19958,3505
01003,11989,5680,6309,19.8,194,11795,4
01005,4837,2230,2607,44.4,768,4069,759
01007,15368,7406,7962,44,3032,12336,2940
01008,1231,620,611,50.2,197,1034,318
01009,699,364,335,31.1,205,494,49
01010,3699,2037,1662,45.5,771,2928,779
01011,1318,621,697,47.1,290,1028,251
01012,440,224,216,54.5,74,366,96
01013,22895,10639,12256,39,5235,17660,3649
01020,30417,15394,15023,44,5256,25161,6226
01022,2144,953,1191,39.3,236,1908,561
01026,1073,572,501,51.2,163,910,279
01027,17711,8716,8995,47.5,2916,14795,4250
01028,16273,7706,8567,43.7,3766,12507,3584
01029,527,328,199,56.8,75,452,137
01030,12561,6157,6404,46.1,2233,10328,2252
01031,1697,939,758,35.5,484,1213,240
01032,484,223,261,55.3,62,422,119
01033,6096,3032,3064,48.3,852,5244,1301
01034,2065,1065,1000,50.2,358,1707,416
01035,5295,2476,2819,48.7,942,4353,1285
01036,4966,2477,2489,55.3,608,4358,1386
01037,582,307,275,62,60,522,221
01038,2469,1235,1234,48.5,403,2066,602
01039,1728,730,998,52.8,294,1434,420
01040,38210,18805,19405,37.5,8465,29745,6500
01050,2714,1336,1378,44.4,575,2139,466
01053,1885,900,985,57.1,161,1724,660
01054,1793,846,947,49,313,1480,539
01056,20883,10677,10206,44.6,3227,17656,4472
01057,8215,4130,4085,49.6,1424,6791,1894
01060,14724,6563,8161,42.2,2321,12403,2740
