,name,lat,long,address,city,website_1,id_tripadvisor,web,phone,review_write,ranking_str,rate,operation,rating_details,image
1,WEISMAN ART MUSEUM,44.9715,-93.23721,333 E RIVER PKWY,MINNEAPOLIS,HTTP://WWW.WEISMAN.UMN.EDU,208573,https://wam.umn.edu/?fbclid=IwAR0_gVqg5EBIx0HNZZV5fgQOELJ_tNlnNsyGKUneX29l0jAefdkI0LTCUk0_aem_AYofuXN8agYWAP8oniovwFJDSPN8cCGlZN_VISXld1-AcShwyxZ3OP0k31V9mbW29nVslQ5ZJ_HFTP8sgcEjoTVO,+1 612-625-9494,https://www.tripadvisor.com/UserReview-g43323-d208573-Weisman_Art_Museum-Minneapolis_Minnesota.html?m=66827,#20 of 463 things to do in Minneapolis,4.5,"Monday: Closed,Tuesday: Closed,Wednesday: 10:00 - 20:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 17:00,Saturday: 11:00 - 17:00,Sunday: 11:00 - 17:00","1: 1,2: 5,3: 27,4: 104,5: 129",https://media-cdn.tripadvisor.com/media/photo-f/0d/a4/27/dc/frederick-weisman-museum.jpg
2,HEADWATERS SCIENCE CENTER,47.47172,-94.88126,413 BELTRAMI AVE NW,BEMIDJI,HTTP://WWW.HSCBEMIDJI.ORG,2217979,http://www.hscbemidji.org,+1 218-444-4472,https://www.tripadvisor.com/UserReview-g42863-d2217979-Headwaters_Science_Center-Bemidji_Minnesota.html?m=66827,#4 of 31 things to do in Bemidji,4.5,"Monday: 09:30 - 17:00,Tuesday: 09:30 - 17:00,Wednesday: 09:30 - 17:00,Thursday: 09:30 - 17:00,Friday: 09:30 - 17:00,Saturday: 09:30 - 17:00,Sunday: 13:00 - 17:00","1: 0,2: 2,3: 3,4: 21,5: 43",https://media-cdn.tripadvisor.com/media/photo-f/02/b3/ff/a5/headwaters-science-center.jpg
3,CHILDREN'S MUSEUM OF SOUTHERN MINNESOTA,44.16147,-94.01399,121 E CHERRY ST,MANKATO,HTTP://WWW.CMSOUTHERNMN.ORG,3164135,http://www.cmsouthernmn.org/,+1 507-386-0279,https://www.tripadvisor.com/UserReview-g43286-d3164135-Children_s_Museum_of_Southern_Minnesota-Mankato_Minnesota.html?m=66827,#3 of 44 things to do in Mankato,5,"Monday: Closed,Tuesday: 09:00 - 16:00,Wednesday: 09:00 - 16:00,Thursday: 09:00 - 19:00,Friday: 09:00 - 16:00,Saturday: 09:00 - 16:00,Sunday: 09:00 - 16:00","1: 0,2: 0,3: 1,4: 8,5: 38",
4,BELL MUSEUM OF NATURAL HISTORY,44.97603,-93.23779,10 CHURCH STREET SE,MINNEAPOLIS,HTTP://WWW.BELLMUSEUM.UMN.EDU/,208573,https://wam.umn.edu/?fbclid=IwAR0_gVqg5EBIx0HNZZV5fgQOELJ_tNlnNsyGKUneX29l0jAefdkI0LTCUk0_aem_AYofuXN8agYWAP8oniovwFJDSPN8cCGlZN_VISXld1-AcShwyxZ3OP0k31V9mbW29nVslQ5ZJ_HFTP8sgcEjoTVO,+1 612-625-9494,https://www.tripadvisor.com/UserReviewEdit-g43501-d15009064-Bell_Museum-Saint_Paul_Minnesota.html,#20 of 463 things to do in Minneapolis,4.5,"Monday: Closed,Tuesday: Closed,Wednesday: 10:00 - 20:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 17:00,Saturday: 11:00 - 17:00,Sunday: 11:00 - 17:00","1: 1,2: 5,3: 27,4: 104,5: 129",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/bd/10/the-experience-continues.jpg?w=1400&h=-1&s=1
5,BLACKDUCK AREA HISTORY AND ART CENTER,47.71874,-94.58199,133 MAIN ST SUITE B PO BOX 233,BLACKDUCK,HTTP://WWW.BLACKDUCKHISTORYART.ORG/,27085204,http://www.blackduckhistoryart.org,+1 218-835-4478,https://www.tripadvisor.com/UserReview-g42877-d27085204-Blackduck_Area_History_Art_Center-Blackduck_Minnesota.html?m=66827,FALSE,FALSE,FALSE,FALSE,
6,CLARISSA COMMUNITY MUSEUM,46.14475,-94.95285,202 MAIN ST W,CLARISSA,NA,42949,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
7,BLUFF COUNTRY ARTISTS GALLERY,43.5609,-91.63706,111 WEST MAIN STREET,SPRING GROVE,HTTP://WWW.BLUFFCOUNTRYARTISTSGALLERY.ORG/,2392403,http://bluffcountryartistsgallery.org,+1 507-498-2787,https://www.tripadvisor.com/UserReview-g43537-d2392403-Bluff_Country_Artists_Gallery-Spring_Grove_Minnesota.html?m=66827,#1 of 9 things to do in Spring Grove,5,FALSE,"1: 0,2: 0,3: 0,4: 0,5: 8",
8,SOUTH CENTRAL MINNESOTA INTERPRETIVE CENTER,43.64514,-94.4599,PO BOX 401,FAIRMONT,NA,10787104,http://www.redrockcenter.org,+1 507-235-9262,https://www.tripadvisor.com/UserReview-g43059-d10787104-Red_Rock_Center_for_the_Arts-Fairmont_Minnesota.html?m=66827,#6 of 17 things to do in Fairmont,4.5,"Monday: Closed,Tuesday: 10:00 - 15:00,Wednesday: 10:00 - 15:00,Thursday: 10:00 - 17:00,Friday: 10:00 - 15:00,Saturday: Closed,Sunday: Closed","1: 0,2: 0,3: 0,4: 1,5: 2",https://media-cdn.tripadvisor.com/media/photo-f/15/ed/31/ce/social-gathering.jpg
9,ARMED FORCES MUSEUM,43.56531,-92.71786,PO BOX 165,ADAMS,HTTP://WWW.ADAMSLEGIONPOST146.COM/,14985358,http://www.adamsmnhistory.com/,+1 507-481-2250,https://www.tripadvisor.com/UserReview-g29576-d14985358-Adams_Area_History_Center-Adams_Minnesota.html?m=66827,#1 of 1 things to do in Adams,3,"Monday: Closed,Tuesday: 13:00 - 15:00,Wednesday: 13:00 - 15:00,Thursday: Closed,Friday: 13:00 - 15:00,Saturday: Closed,Sunday: Closed","1: 0,2: 0,3: 1,4: 0,5: 0",https://media-cdn.tripadvisor.com/media/photo-f/14/0f/24/be/the-adams-area-history.jpg
10,BRUGGEMAN AVIATION HISTORY MUSEUM,45.14183,-93.2284,1681 94TH LN NE,MINNEAPOLIS,NA,599486,http://www.galleryofwoodart.org/,+1 651-484-9094,https://www.tripadvisor.com/UserReview-g43501-d599486-American_Association_of_Woodturners_Gallery-Saint_Paul_Minnesota.html?m=66827,#65 of 232 things to do in Saint Paul,4.5,FALSE,"1: 0,2: 0,3: 0,4: 6,5: 5",https://media-cdn.tripadvisor.com/media/photo-f/2b/99/fc/fc/caption.jpg
